,Market Return,Rf
198608,5.61,0.46
198609,-9.05,0.45
198610,4.2,0.46
198611,0.78,0.39
198612,-3.76,0.49
198701,12.05,0.42
198702,3.96,0.43
198703,1.17,0.47
198704,-2.55,0.44
198705,-0.27,0.38
198706,3.46,0.48
198707,3.39,0.46
198708,3.05,0.47
198709,-3.04,0.45
198710,-23.84,0.6
198711,-8.12,0.35
198712,6.42,0.39
198801,3.92,0.29
198802,4.29,0.46
198803,-2.71,0.44
198804,0.1,0.46
198805,-0.8,0.51
198806,4.3,0.49
198807,-1.76,0.51
198808,-3.9,0.59
198809,2.68,0.62
198810,0.54,0.61
198811,-2.86,0.57
198812,0.86,0.63
198901,5.55,0.55
198902,-2.86,0.61
198903,0.9,0.67
198904,3.66,0.67
198905,2.56,0.79
198906,-2.06,0.71
198907,6.5,0.7
198908,0.7,0.74
198909,-1.41,0.65
198910,-4.35,0.68
198911,0.34,0.69
198912,0.55,0.61
199001,-8.42,0.57
199002,0.54,0.57
199003,1.19,0.64
199004,-4.05,0.69
199005,7.74,0.68
199006,-1.72,0.63
199007,-2.58,0.68
199008,-10.81,0.66
199009,-6.72,0.6
199010,-2.6,0.68
199011,5.78,0.57
199012,1.86,0.6
199101,4.17,0.52
199102,6.71,0.48
199103,2.21,0.44
199104,-0.81,0.53
199105,3.18,0.47
199106,-5.36,0.42
199107,3.75,0.49
199108,1.86,0.46
199109,-2.05,0.46
199110,0.87,0.42
199111,-4.58,0.39
199112,10.46,0.38
199201,-0.93,0.34
199202,0.81,0.28
199203,-3,0.34
199204,0.75,0.32
199205,0.02,0.28
199206,-2.66,0.32
199207,3.46,0.31
199208,-2.64,0.26
199209,0.93,0.26
199210,0.79,0.23
199211,3.9,0.23
199212,1.25,0.28
199301,0.7,0.23
199302,-0.1,0.22
199303,2.05,0.25
199304,-3.29,0.24
199305,2.67,0.22
199306,0.06,0.25
199307,-0.58,0.24
199308,3.46,0.25
199309,-0.38,0.26
199310,1.19,0.22
199311,-2.14,0.25
199312,1.42,0.23
199401,2.62,0.25
199402,-2.76,0.21
199403,-5.05,0.27
199404,0.41,0.27
199405,0.27,0.31
199406,-3.34,0.31
199407,2.54,0.28
199408,3.64,0.37
199409,-2.68,0.37
199410,0.96,0.38
199411,-4.41,0.37
199412,0.42,0.44
199501,1.38,0.42
199502,3.23,0.4
199503,1.73,0.46
199504,1.67,0.44
199505,2.36,0.54
199506,2.25,0.47
199507,3.27,0.45
199508,0.08,0.47
199509,2.92,0.43
199510,-1.99,0.47
199511,3.54,0.42
199512,0.54,0.49
199601,1.83,0.43
199602,0.94,0.39
199603,0.34,0.39
199604,1.6,0.46
199605,1.94,0.42
199606,-1.54,0.4
199607,-6.42,0.45
199608,2.36,0.41
199609,4.57,0.44
199610,0.44,0.42
199611,5.84,0.41
199612,-2.16,0.46
199701,4.54,0.45
199702,-0.88,0.39
199703,-5.46,0.43
199704,3.61,0.43
199705,6.25,0.49
199706,3.73,0.37
199707,6.9,0.43
199708,-4.56,0.41
199709,4.91,0.44
199710,-4.22,0.42
199711,2.59,0.39
199712,0.84,0.48
199801,-0.28,0.43
199802,6.65,0.39
199803,4.37,0.39
199804,0.3,0.43
199805,-3.47,0.4
199806,2.77,0.41
199807,-2.86,0.4
199808,-16.51,0.43
199809,5.69,0.46
199810,6.81,0.32
199811,5.79,0.31
199812,5.78,0.38
199901,3.15,0.35
199902,-4.43,0.35
199903,3.02,0.43
199904,3.96,0.37
199905,-2.8,0.34
199906,4.37,0.4
199907,-3.87,0.38
199908,-1.77,0.39
199909,-3.18,0.39
199910,5.73,0.39
199911,3.01,0.36
199912,7.28,0.44
200001,-5.15,0.41
200002,2.02,0.43
200003,4.73,0.47
200004,-6.86,0.46
